dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
GoogleCluster,42,KATS,0.25,0.9993506493506492,0.99870214146658,0.9990262901655308,0.9992379458557986,0.998833592346033,0.0004046096277762,0.0005483235517254,0.9999795250291053,6,3
GoogleCluster,42,LightGBM,0.5,0.9993506493506492,0.9984861591695502,0.9989182172219818,0.9991677370239734,0.9987039951487946,0.0004959300211518,0.0004045639804467,0.9999849851545378,7,3
GoogleCluster,42,XGBoost,0.5,0.9993506493506492,0.9980544747081712,0.99870214146658,0.99899478689958,0.9984447629368344,0.0005917858885659,0.0009125194285039,0.9999812585076232,9,3
GoogleCluster,42,RandomForest,0.5,0.9993506493506492,0.9993506493506492,0.9993506493506492,0.99957867373356,0.9992223483098032,0.0005091166666666,0.0023830555555555,0.9999959105857176,3,3
GoogleCluster,42,BalancedRF,0.5,0.9993506493506492,0.99870214146658,0.9990262901655308,0.999335470008785,0.9988335623385274,0.0006906486111111,0.0032305555555555,0.9999938388593284,6,3
GoogleCluster,42,MLP,0.5,0.995887445887446,0.9965345462421484,0.9962108909819204,0.997011978242683,0.9950755911339776,0.0017962806813793,0.0015172228789124,0.999624508205942,16,19
GoogleCluster,42,LogReg,0.5,0.9186147186147188,0.9080017115960634,0.913277383258016,0.91680025123824,0.8804231658474176,0.0414694139043739,0.0293139048529742,0.9671863240472178,430,376
GoogleCluster,42,NaiveBayes,0.5,0.8337662337662337,0.9204301075268816,0.8749574105621806,0.8630648032365551,0.8090928358754672,0.0625952435464796,0.0248532456623778,0.9239846530449384,333,768
GoogleCluster,7,KATS,0.25,0.9993506493506492,0.9980544747081712,0.99870214146658,0.9990273217095558,0.9984448029461652,0.0005810633879629,0.0004773216107684,0.999989488628527,9,3
GoogleCluster,7,LightGBM,0.5,0.9993506493506492,0.9982702702702704,0.9988101676581936,0.9990975289767872,0.998574398682174,0.0005574907279586,0.0005793607757661,0.9999551187631984,8,3
GoogleCluster,7,XGBoost,0.5,0.9991341991341992,0.9976226496650096,0.998377852276414,0.9988166647271562,0.9980560091624175,0.0007207671786153,0.0007811237273158,0.9999472341207272,11,4
GoogleCluster,7,RandomForest,0.5,0.9995670995670995,0.9980548951804624,0.9988104250027036,0.9990975080489402,0.9985743333671928,0.0006384444444444,0.0021583333333333,0.9999917893259452,9,2
GoogleCluster,7,BalancedRF,0.5,0.9989177489177488,0.9976221357544316,0.9982695219554402,0.9986815236942104,0.9979265106115356,0.0008651680555555,0.0031322222222222,0.999987036574436,11,5
GoogleCluster,7,MLP,0.5,0.997835497835498,0.9954653422586914,0.9966490109177386,0.9973649812779783,0.9958528663060324,0.0016415294379517,0.0015440190667896,0.9990147171279112,21,10
GoogleCluster,7,LogReg,0.5,0.9047619047619048,0.9049577830699286,0.9048598333152938,0.9087962456790476,0.8694186619523981,0.0432786145258748,0.0312717261393618,0.9675735847143776,439,440
GoogleCluster,7,NaiveBayes,0.5,0.8300865800865801,0.9245419479267116,0.874771897810219,0.8585929149761443,0.8022856113068281,0.0644327883832343,0.0262046254403473,0.926837408078704,313,785
GoogleCluster,13,KATS,0.25,0.9991341991341992,0.9989179831205368,0.9990260794286332,0.9991727512259,0.998833525752981,0.0004050323140286,0.0006508555290934,0.9999936877069756,5,4
GoogleCluster,13,LightGBM,0.5,0.9984848484848484,0.9989172802078822,0.9987010175362632,0.9988937336688734,0.9983150785050288,0.0005724876675041,0.000521889370159,0.999945130096322,5,7
GoogleCluster,13,XGBoost,0.5,0.9984848484848484,0.9987010175362632,0.9985929213118304,0.9987553291986742,0.9980559653238646,0.000688313441478,0.0010398268461398,0.9999093733607156,6,7
GoogleCluster,13,RandomForest,0.5,0.9993506493506492,0.9991343864964294,0.9992425062222704,0.9993457960498252,0.9990927655929536,0.0005693805555555,0.002286111111111,0.9999950245471958,4,3
GoogleCluster,13,BalancedRF,0.5,0.9991341991341992,0.99848583171101,0.9988099102023152,0.99903248586806,0.9985743906451514,0.0007903513888888,0.0032330555555555,0.9999901237650018,7,4
GoogleCluster,13,MLP,0.5,0.9952380952380953,0.9922313336210618,0.9937324400259347,0.9943109656325788,0.9918314069824484,0.0032717927762669,0.0020409098459977,0.9992985217430904,36,22
GoogleCluster,13,LogReg,0.5,0.9231601731601732,0.90169133192389,0.9122994652406418,0.918072661133274,0.8817840092226482,0.0398151676213537,0.0292057600744953,0.9695084839331402,465,355
GoogleCluster,13,NaiveBayes,0.5,0.8378787878787879,0.907620164126612,0.8713562183455261,0.8576498999368427,0.8024688154638044,0.0623371122617145,0.0240962639334126,0.923303765941393,394,749
GoogleCluster,99,KATS,0.45,0.9991341991341992,0.9987018606663782,0.9989179831205368,0.9991676362980416,0.998703921156932,0.000409319280446,0.0006420502028654,0.999931462444658,6,4
GoogleCluster,99,LightGBM,0.5,0.9993506493506492,0.99870214146658,0.9990262901655308,0.9992703919503468,0.998833502318884,0.000458959456354,0.0003417204244904,0.9999427958845448,6,3
GoogleCluster,99,XGBoost,0.5,0.9989177489177488,0.9984855041107744,0.998701579744644,0.9990271958284818,0.9984447053883182,0.000561946625627,0.0009339635307066,0.999952106629231,7,5
GoogleCluster,99,RandomForest,0.5,0.9993506493506492,0.9989182172219818,0.9991343864964294,0.999373157444681,0.9989631369255456,0.0005953694444444,0.0022691666666666,0.9999953556239082,5,3
GoogleCluster,99,BalancedRF,0.5,0.9993506493506492,0.99870214146658,0.9990262901655308,0.9992704300143816,0.9988335623385274,0.0008187305555555,0.0032997222222222,0.99999353679014,6,3
GoogleCluster,99,MLP,0.5,0.993939393939394,0.9971769815418025,0.9955555555555556,0.996398965194438,0.9944280274624384,0.0022036230193951,0.0021421165407052,0.9994964300186492,13,28
GoogleCluster,99,LogReg,0.5,0.9075757575757576,0.9153023357345558,0.9114226714487556,0.9160699149890902,0.8805078876826767,0.0401535818469267,0.0314979469066847,0.9695081149027815,388,427
GoogleCluster,99,NaiveBayes,0.5,0.8354978354978355,0.935984481086324,0.8828911253430924,0.872258173561489,0.8222460130415561,0.0597983191325895,0.0284673020892637,0.9295963542707952,264,760
GoogleCluster,2026,KATS,0.3500000000000001,0.9997835497835498,0.9989186851211072,0.9993509303331892,0.9995135913371368,0.9992223170635366,0.000284512955559,0.0005115172591123,0.9999977962146964,5,1
