dataset,seed,baseline,b10_KATS_correct_baseline_wrong,b01_KATS_wrong_baseline_correct,overall_accuracy_difference_KATS_minus_baseline,direction,p_raw,p_holm_all_28_live_tests,significant_holm_0_05
CICIDS2017,2026,BalancedRF,28,4989,-0.41341666666666665,BASELINE_BETTER,0.0,0.0,True
CICIDS2017,2026,LightGBM,12,5004,-0.41600000000000004,BASELINE_BETTER,0.0,0.0,True
CICIDS2017,2026,LogReg,442,4501,-0.33825000000000005,BASELINE_BETTER,0.0,0.0,True
CICIDS2017,2026,MLP,52,4951,-0.40825,BASELINE_BETTER,0.0,0.0,True
CICIDS2017,2026,NaiveBayes,1906,4888,-0.24850000000000005,BASELINE_BETTER,2.093258950957317e-286,3.1398884264359756e-285,True
CICIDS2017,2026,RandomForest,14,4993,-0.4149166666666667,BASELINE_BETTER,0.0,0.0,True
CICIDS2017,2026,XGBoost,8,5000,-0.41600000000000004,BASELINE_BETTER,0.0,0.0,True
GoogleCluster,2026,BalancedRF,5,2,0.0002500000000000835,KATS_BETTER,0.453125,1.0,False
GoogleCluster,2026,LightGBM,3,1,0.00016666666666675933,KATS_BETTER,0.625,1.0,False
GoogleCluster,2026,LogReg,968,2,0.08050000000000002,KATS_BETTER,8.77807965451946e-211,1.2289311516327245e-209,True
GoogleCluster,2026,MLP,51,1,0.004166666666666763,KATS_BETTER,1.0825439076473751e-11,1.29905268917685e-10,True
GoogleCluster,2026,NaiveBayes,1551,0,0.1292500000000001,KATS_BETTER,0.0,0.0,True
GoogleCluster,2026,RandomForest,1,0,8.333333333343518e-05,KATS_BETTER,1.0,1.0,False
GoogleCluster,2026,XGBoost,5,0,0.0004166666666667318,KATS_BETTER,0.0625,0.6875,False
ITIncident,2026,BalancedRF,185,2085,-0.38121990369181386,BASELINE_BETTER,0.0,0.0,True
ITIncident,2026,LightGBM,231,1970,-0.34891653290529695,BASELINE_BETTER,2.093339576194195e-300,3.349343321910712e-299,True
ITIncident,2026,LogReg,898,1246,-0.06982343499197435,BASELINE_BETTER,6.67758914951718e-14,8.680865894372334e-13,True
ITIncident,2026,MLP,191,3523,-0.6685393258426966,BASELINE_BETTER,0.0,0.0,True
ITIncident,2026,NaiveBayes,191,3523,-0.6685393258426966,BASELINE_BETTER,0.0,0.0,True
ITIncident,2026,RandomForest,174,3163,-0.5997191011235956,BASELINE_BETTER,0.0,0.0,True
ITIncident,2026,XGBoost,163,3517,-0.6729534510433388,BASELINE_BETTER,0.0,0.0,True
MultiCloud,2026,BalancedRF,48,43,0.025000000000000022,KATS_BETTER,0.6749867139704893,1.0,False
MultiCloud,2026,LightGBM,51,43,0.03999999999999998,KATS_BETTER,0.4702976300673274,1.0,False
MultiCloud,2026,LogReg,24,19,0.025000000000000022,KATS_BETTER,0.5418655957872516,1.0,False
MultiCloud,2026,MLP,37,41,-0.020000000000000018,BASELINE_BETTER,0.7340951823194757,1.0,False
MultiCloud,2026,NaiveBayes,27,26,0.0050000000000000044,KATS_BETTER,1.0,1.0,False
MultiCloud,2026,RandomForest,48,39,0.044999999999999984,KATS_BETTER,0.39106364794051585,1.0,False
MultiCloud,2026,XGBoost,52,43,0.044999999999999984,KATS_BETTER,0.4117700649021424,1.0,False
