dataset,variant,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,F1H_mean,F1H_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd,Brier_mean,Brier_sd,ECE_mean,ECE_sd,PRAUC_High_mean,PRAUC_High_sd,Delta_RecallH,Delta_MacroF1,Delta_Kappa
CICIDS2017,T_Full,0.9343649258542877,0.0037149865353676,0.2696195212566858,0.007000460113624,0.4184379103836293,0.0082796499849375,0.5411401741337531,0.0094868595774094,0.286496249471869,0.0108389231864764,0.1416459401852009,0.0030678698211478,0.2436202543222258,0.0099376470868515,0.8788496201248049,0.0098890379452536,0.0,0.0,0.0
CICIDS2017,T_NoAsymLoss,0.817666021921341,0.0112913297377768,0.9167478053407822,0.0191811781585944,0.8642241637912516,0.0082334998741234,0.6465303813997397,0.0066296851847528,0.7114387559661031,0.0065591764920037,0.0765463437121566,0.0012901359205908,0.111541871432758,0.0061479914721648,0.848649221761578,0.0052306303964853,-0.1166989039329465,0.1053902072659865,0.424942506494234
CICIDS2017,T_NoCalibNB,0.9328175370728562,0.0045681468946276,0.270877558558056,0.0061157396296378,0.4198117276905134,0.0074801601407729,0.5497387113552914,0.0154410401385814,0.2914012090835839,0.0120426311167306,0.136631408159216,0.0042526143622576,0.2342949740183394,0.0093628153055937,0.8751889109000859,0.010361970316566,-0.0015473887814313,0.0085985372215382,0.0049049596117149
CICIDS2017,T_NoSMOTE,0.9330754352030948,0.0044529456221359,0.2691566292014118,0.0051809067379506,0.4177778831769408,0.0064939930370291,0.5427645660832094,0.0122585121674195,0.2862076448169616,0.0099868026603955,0.1381783020180497,0.0051111826313973,0.2356103072821537,0.0113932044546931,0.8781062500292249,0.0133560431991848,-0.0012894906511927,0.0016243919494562,-0.0002886046549074
CICIDS2017,T_NoStacking,0.9984526112185688,0.0009778046994263,0.9915520236146808,0.0018063438805846,0.99498891397413,0.0005780516492385,0.9957652214912132,0.0008362079118098,0.9940591140582452,0.0008121475718091,0.0010140270210033,0.0001058962410769,0.001091681185831,0.0002136268022483,0.9997810712476952,0.0001822397283422,0.0640876853642812,0.45462504735746,0.7075628645863762
ITIncident,T_Full,0.9426470588235294,0.0246076478392375,0.0429029457979036,0.0013875626845912,0.082066001386011,0.002545593275608,0.2191555409092503,0.0095076156260452,0.0361090567447295,0.0028478897948994,0.3050688402017559,0.0070701985182062,0.4477012036283813,0.0061322399253246,0.16274929749548,0.0255525702540243,0.0,0.0,0.0
ITIncident,T_NoAsymLoss,0.0985294117647059,0.0273149641485392,0.5545970695970696,0.1022430955731821,0.1658416454585081,0.0396548895697171,0.3837871621080516,0.0149990177352275,0.0854533391205418,0.0227987207928411,0.0342509727872475,0.000471309458792,0.0053217590004639,0.0009704005251334,0.212856150960191,0.0320840431353382,-0.8441176470588235,0.1646316211988012,0.0493442823758122
ITIncident,T_NoCalibNB,0.9470588235294116,0.0159407966093226,0.0421098989706001,0.0017655455023761,0.0806287506350782,0.0032269198559161,0.2126928144339133,0.0138158301986251,0.034542301011936,0.0045253672083759,0.3099398142174551,0.0078005735337522,0.4512507310573967,0.0073710491864588,0.1657970390614638,0.0260768249147373,0.0044117647058823,-0.006462726475337,-0.0015667557327934
ITIncident,T_NoSMOTE,0.9588235294117646,0.0257877616422797,0.040294123981746,0.0021529311787298,0.0773266601751537,0.0039210231260327,0.1902348505920093,0.0221693890109796,0.0300533456438042,0.0046772023497761,0.3136111509070477,0.0094337011658135,0.4549398108209946,0.0071190798178088,0.2336358682525416,0.0358696316228112,0.0161764705882352,-0.0289206903172409,-0.0060557111009252
ITIncident,T_NoStacking,0.7691176470588236,0.0318815932186453,0.0693449120184329,0.0033848742808014,0.127192596598143,0.0057535487499128,0.2495475863937262,0.0066031286496774,0.0477878278462306,0.0043115591209733,0.3222727975768052,0.0050333010302863,0.3881836717564876,0.0043735211695247,0.1762552838283063,0.0310098322565632,-0.1735294117647058,0.0303920454844758,0.0116787711015011
