dataset,variant,RecallH_mean,RecallH_sd,PrecH_mean,PrecH_sd,F1H_mean,F1H_sd,MacroF1_mean,MacroF1_sd,Kappa_mean,Kappa_sd,Brier_mean,Brier_sd,ECE_mean,ECE_sd,PRAUC_High_mean,PRAUC_High_sd,Delta_RecallH,Delta_MacroF1,Delta_Kappa
CICIDS2017,T_Full,0.9343649258542875,0.0037149865353676174,0.2696195212566858,0.007000460113624068,0.4184379103836293,0.008279649984937519,0.5411401741337531,0.009486859577409459,0.286496249471869,0.010838923186476416,0.14164594018520094,0.0030678698211478927,0.2436202543222258,0.00993764708685159,0.8788496201248049,0.009889037945253653,0.0,0.0,0.0
CICIDS2017,T_NoAsymLoss,0.817666021921341,0.011291329737776882,0.9167478053407822,0.019181178158594464,0.8642241637912516,0.008233499874123465,0.6465303813997397,0.006629685184752889,0.7114387559661031,0.0065591764920037345,0.07654634371215661,0.001290135920590878,0.11154187143275802,0.006147991472164855,0.848649221761578,0.005230630396485304,-0.11669890393294657,0.10539020726598658,0.42494250649423404
CICIDS2017,T_NoCalibNB,0.9328175370728562,0.0045681468946276145,0.270877558558056,0.0061157396296378855,0.41981172769051345,0.007480160140772998,0.5497387113552914,0.015441040138581419,0.29140120908358397,0.01204263111673065,0.13663140815921607,0.004252614362257619,0.2342949740183394,0.009362815305593764,0.8751889109000859,0.010361970316566046,-0.001547388781431347,0.00859853722153825,0.004904959611714943
CICIDS2017,T_NoSMOTE,0.9330754352030948,0.004452945622135928,0.26915662920141187,0.005180906737950607,0.41777788317694087,0.006493993037029122,0.5427645660832094,0.012258512167419544,0.2862076448169616,0.0099868026603955,0.13817830201804976,0.005111182631397316,0.23561030728215374,0.011393204454693148,0.8781062500292249,0.013356043199184807,-0.0012894906511927706,0.0016243919494562942,-0.0002886046549074317
CICIDS2017,T_NoStacking,0.9984526112185688,0.0009778046994263821,0.9915520236146808,0.001806343880584694,0.99498891397413,0.0005780516492385615,0.9957652214912132,0.0008362079118098839,0.9940591140582452,0.0008121475718091394,0.0010140270210033603,0.00010589624107696638,0.0010916811858310191,0.00021362680224832703,0.9997810712476951,0.0001822397283422133,0.06408768536428122,0.45462504735746,0.7075628645863762
ITIncident,T_Full,0.9426470588235294,0.024607647839237516,0.04290294579790363,0.0013875626845912736,0.08206600138601108,0.0025455932756080534,0.21915554090925032,0.009507615626045232,0.03610905674472953,0.0028478897948994125,0.30506884020175595,0.007070198518206255,0.4477012036283813,0.006132239925324669,0.16274929749548,0.025552570254024385,0.0,0.0,0.0
ITIncident,T_NoAsymLoss,0.0985294117647059,0.02731496414853928,0.5545970695970696,0.10224309557318213,0.16584164545850816,0.039654889569717196,0.3837871621080516,0.014999017735227587,0.0854533391205418,0.022798720792841197,0.03425097278724753,0.00047130945879202574,0.005321759000463951,0.0009704005251334737,0.21285615096019103,0.03208404313533823,-0.8441176470588235,0.16463162119880126,0.04934428237581227
ITIncident,T_NoCalibNB,0.9470588235294117,0.01594079660932266,0.042109898970600176,0.0017655455023761531,0.08062875063507827,0.0032269198559161123,0.2126928144339133,0.01381583019862516,0.03454230101193605,0.004525367208375955,0.3099398142174551,0.0078005735337522975,0.45125073105739677,0.007371049186458812,0.16579703906146387,0.026076824914737312,0.004411764705882337,-0.006462726475337022,-0.0015667557327934817
ITIncident,T_NoSMOTE,0.9588235294117646,0.0257877616422797,0.04029412398174602,0.002152931178729889,0.07732666017515374,0.003921023126032713,0.19023485059200934,0.022169389010979625,0.03005334564380424,0.00467720234977619,0.3136111509070477,0.009433701165813579,0.4549398108209946,0.007119079817808891,0.23363586825254162,0.035869631622811204,0.016176470588235237,-0.028920690317240982,-0.006055711100925287
ITIncident,T_NoStacking,0.7691176470588236,0.031881593218645324,0.06934491201843293,0.0033848742808014758,0.127192596598143,0.005753548749912898,0.2495475863937262,0.006603128649677443,0.04778782784623063,0.00431155912097332,0.3222727975768052,0.005033301030286354,0.3881836717564876,0.004373521169524706,0.17625528382830635,0.031009832256563275,-0.17352941176470582,0.030392045484475882,0.011678771101501104
