dataset,seed,model,class_index,bin,count,mean_confidence,empirical_frequency
GoogleCluster,42,KATS,0,0,7373,8.210354310829431e-05,0.00040689000406890003
GoogleCluster,42,KATS,0,1,4,0.1368495367056398,0.0
GoogleCluster,42,KATS,0,2,0,,
GoogleCluster,42,KATS,0,3,0,,
GoogleCluster,42,KATS,0,4,3,0.436133423398484,0.0
GoogleCluster,42,KATS,0,5,2,0.5874651401810227,1.0
GoogleCluster,42,KATS,0,6,2,0.6473161932410656,1.0
GoogleCluster,42,KATS,0,7,1,0.7824157225915017,1.0
GoogleCluster,42,KATS,0,8,4,0.8825994270849584,1.0
GoogleCluster,42,KATS,0,9,4611,0.9988359016760487,0.9993493819128172
GoogleCluster,42,KATS,1,0,9498,0.00028429241932231326,0.0
GoogleCluster,42,KATS,1,1,0,,
GoogleCluster,42,KATS,1,2,0,,
GoogleCluster,42,KATS,1,3,0,,
GoogleCluster,42,KATS,1,4,1,0.4073609341460799,1.0
GoogleCluster,42,KATS,1,5,0,,
GoogleCluster,42,KATS,1,6,0,,
GoogleCluster,42,KATS,1,7,0,,
GoogleCluster,42,KATS,1,8,0,,
GoogleCluster,42,KATS,1,9,2501,0.9998865482233994,0.9988004798080767
GoogleCluster,42,KATS,2,0,7113,0.0005337260702091192,0.00042176296921130323
GoogleCluster,42,KATS,2,1,4,0.13156951701766012,0.0
GoogleCluster,42,KATS,2,2,1,0.21601699677098682,0.0
GoogleCluster,42,KATS,2,3,3,0.3529568021185214,0.0
GoogleCluster,42,KATS,2,4,2,0.453802491674581,0.5
GoogleCluster,42,KATS,2,5,1,0.5738084160742296,1.0
GoogleCluster,42,KATS,2,6,0,,
GoogleCluster,42,KATS,2,7,0,,
GoogleCluster,42,KATS,2,8,4,0.8475468315936147,1.0
GoogleCluster,42,KATS,2,9,4872,0.9997600874917126,1.0
GoogleCluster,42,LightGBM,0,0,7370,0.00023368990165641406,0.000271370420624152
GoogleCluster,42,LightGBM,0,1,2,0.13279872667748588,0.5
GoogleCluster,42,LightGBM,0,2,1,0.2556196583377028,0.0
GoogleCluster,42,LightGBM,0,3,2,0.3329002635683677,0.0
GoogleCluster,42,LightGBM,0,4,1,0.4779189069290567,0.0
GoogleCluster,42,LightGBM,0,5,2,0.5447714098020433,0.5
GoogleCluster,42,LightGBM,0,6,4,0.6329278594733544,0.5
GoogleCluster,42,LightGBM,0,7,2,0.7780656970518784,1.0
GoogleCluster,42,LightGBM,0,8,4,0.8454279763165155,1.0
GoogleCluster,42,LightGBM,0,9,4612,0.9994619417609515,0.9991326973113617
GoogleCluster,42,LightGBM,1,0,9499,4.8264570100613735e-05,0.00010527423939362039
GoogleCluster,42,LightGBM,1,1,0,,
GoogleCluster,42,LightGBM,1,2,0,,
GoogleCluster,42,LightGBM,1,3,0,,
GoogleCluster,42,LightGBM,1,4,0,,
GoogleCluster,42,LightGBM,1,5,0,,
GoogleCluster,42,LightGBM,1,6,1,0.6445052569802951,1.0
GoogleCluster,42,LightGBM,1,7,0,,
GoogleCluster,42,LightGBM,1,8,1,0.888425965705099,0.0
GoogleCluster,42,LightGBM,1,9,2499,0.9999179807700868,0.9991996798719488
GoogleCluster,42,LightGBM,2,0,7113,0.00029011278371295123,0.00042176296921130323
GoogleCluster,42,LightGBM,2,1,4,0.15399061184577428,0.0
GoogleCluster,42,LightGBM,2,2,2,0.22183026954845825,0.0
GoogleCluster,42,LightGBM,2,3,4,0.3667140606427427,0.5
GoogleCluster,42,LightGBM,2,4,2,0.454685463046191,0.5
GoogleCluster,42,LightGBM,2,5,1,0.5218364058524856,1.0
GoogleCluster,42,LightGBM,2,6,1,0.6894671035858471,1.0
GoogleCluster,42,LightGBM,2,7,1,0.7443337909606754,1.0
GoogleCluster,42,LightGBM,2,8,1,0.8452601769904076,1.0
GoogleCluster,42,LightGBM,2,9,4871,0.9996814711022495,1.0
GoogleCluster,42,XGBoost,0,0,7349,0.0006272015161812305,0.0
GoogleCluster,42,XGBoost,0,1,13,0.14194856584072113,0.07692307692307693
GoogleCluster,42,XGBoost,0,2,9,0.2585946321487427,0.2222222222222222
GoogleCluster,42,XGBoost,0,3,2,0.37446069717407227,0.0
GoogleCluster,42,XGBoost,0,4,1,0.4418928325176239,0.0
GoogleCluster,42,XGBoost,0,5,3,0.5389831066131592,0.6666666666666666
GoogleCluster,42,XGBoost,0,6,6,0.6577855944633484,0.6666666666666666
GoogleCluster,42,XGBoost,0,7,8,0.75848388671875,0.75
GoogleCluster,42,XGBoost,0,8,10,0.8599358797073364,1.0
GoogleCluster,42,XGBoost,0,9,4599,0.9981639981269836,0.9991302457055882
GoogleCluster,42,XGBoost,1,0,9496,0.0002616001875139773,0.00010530749789385004
GoogleCluster,42,XGBoost,1,1,2,0.13057848811149597,0.0
GoogleCluster,42,XGBoost,1,2,2,0.2578485608100891,0.5
GoogleCluster,42,XGBoost,1,3,0,,
GoogleCluster,42,XGBoost,1,4,0,,
GoogleCluster,42,XGBoost,1,5,0,,
GoogleCluster,42,XGBoost,1,6,0,,
GoogleCluster,42,XGBoost,1,7,2,0.7072638273239136,0.0
GoogleCluster,42,XGBoost,1,8,2,0.8685322403907776,0.5
GoogleCluster,42,XGBoost,1,9,2496,0.9993180632591248,1.0
GoogleCluster,42,XGBoost,2,0,7106,0.0009795285295695066,0.00042217844075429216
GoogleCluster,42,XGBoost,2,1,7,0.15895791351795197,0.0
GoogleCluster,42,XGBoost,2,2,4,0.24897348880767822,0.25
GoogleCluster,42,XGBoost,2,3,6,0.34031614661216736,0.3333333333333333
GoogleCluster,42,XGBoost,2,4,3,0.4575319290161133,0.3333333333333333
GoogleCluster,42,XGBoost,2,5,1,0.5482444763183594,1.0
GoogleCluster,42,XGBoost,2,6,2,0.6251296997070312,1.0
GoogleCluster,42,XGBoost,2,7,7,0.7469164133071899,1.0
GoogleCluster,42,XGBoost,2,8,11,0.8542159795761108,1.0
GoogleCluster,42,XGBoost,2,9,4853,0.9993040561676025,1.0
GoogleCluster,42,RandomForest,0,0,7338,0.0012782774597983103,0.0
GoogleCluster,42,RandomForest,0,1,25,0.1306,0.0
GoogleCluster,42,RandomForest,0,2,4,0.24,0.0
GoogleCluster,42,RandomForest,0,3,9,0.36000000000000004,0.1111111111111111
GoogleCluster,42,RandomForest,0,4,4,0.43,0.5
GoogleCluster,42,RandomForest,0,5,6,0.5599999999999999,1.0
GoogleCluster,42,RandomForest,0,6,6,0.6425,0.8333333333333334
GoogleCluster,42,RandomForest,0,7,14,0.7546428571428571,0.9285714285714286
GoogleCluster,42,RandomForest,0,8,33,0.8545454545454546,0.9696969696969697
GoogleCluster,42,RandomForest,0,9,4561,0.9975005481254112,1.0
GoogleCluster,42,RandomForest,1,0,9488,0.0007377740303541315,0.0
GoogleCluster,42,RandomForest,1,1,10,0.12300000000000003,0.0
GoogleCluster,42,RandomForest,1,2,1,0.28,0.0
GoogleCluster,42,RandomForest,1,3,1,0.305,0.0
GoogleCluster,42,RandomForest,1,4,2,0.4475,0.5
GoogleCluster,42,RandomForest,1,5,1,0.595,1.0
GoogleCluster,42,RandomForest,1,6,1,0.62,1.0
GoogleCluster,42,RandomForest,1,7,2,0.78,1.0
GoogleCluster,42,RandomForest,1,8,7,0.8592857142857143,1.0
GoogleCluster,42,RandomForest,1,9,2487,0.9983393646964214,1.0
GoogleCluster,42,RandomForest,2,0,7071,0.001586762834111158,0.0
GoogleCluster,42,RandomForest,2,1,33,0.13454545454545458,0.06060606060606061
GoogleCluster,42,RandomForest,2,2,8,0.240625,0.125
GoogleCluster,42,RandomForest,2,3,5,0.356,0.0
GoogleCluster,42,RandomForest,2,4,4,0.46749999999999997,0.0
GoogleCluster,42,RandomForest,2,5,5,0.5559999999999999,0.8
GoogleCluster,42,RandomForest,2,6,5,0.6300000000000001,1.0
GoogleCluster,42,RandomForest,2,7,3,0.7366666666666667,1.0
GoogleCluster,42,RandomForest,2,8,23,0.8621739130434783,1.0
GoogleCluster,42,RandomForest,2,9,4843,0.9984059467272354,1.0
GoogleCluster,42,BalancedRF,0,0,7320,0.0015812841530054643,0.0
GoogleCluster,42,BalancedRF,0,1,34,0.1438235294117647,0.0
GoogleCluster,42,BalancedRF,0,2,10,0.2385,0.0
GoogleCluster,42,BalancedRF,0,3,6,0.3425,0.0
GoogleCluster,42,BalancedRF,0,4,8,0.43437499999999996,0.375
GoogleCluster,42,BalancedRF,0,5,10,0.5635000000000001,0.8
GoogleCluster,42,BalancedRF,0,6,12,0.65125,0.9166666666666666
GoogleCluster,42,BalancedRF,0,7,14,0.7485714285714288,0.9285714285714286
GoogleCluster,42,BalancedRF,0,8,52,0.8587499999999998,0.9807692307692307
GoogleCluster,42,BalancedRF,0,9,4534,0.9964236876929863,1.0
GoogleCluster,42,BalancedRF,1,0,9477,0.0011074179592698112,0.0
GoogleCluster,42,BalancedRF,1,1,18,0.1227777777777778,0.0
GoogleCluster,42,BalancedRF,1,2,3,0.205,0.0
GoogleCluster,42,BalancedRF,1,3,1,0.395,0.0
GoogleCluster,42,BalancedRF,1,4,1,0.405,0.0
GoogleCluster,42,BalancedRF,1,5,3,0.5366666666666666,0.6666666666666666
GoogleCluster,42,BalancedRF,1,6,1,0.615,1.0
GoogleCluster,42,BalancedRF,1,7,0,,
GoogleCluster,42,BalancedRF,1,8,6,0.8558333333333333,1.0
GoogleCluster,42,BalancedRF,1,9,2490,0.998371485943775,1.0
GoogleCluster,42,BalancedRF,2,0,7058,0.002080617738736186,0.0
GoogleCluster,42,BalancedRF,2,1,43,0.138953488372093,0.046511627906976744
GoogleCluster,42,BalancedRF,2,2,11,0.25181818181818183,0.09090909090909091
GoogleCluster,42,BalancedRF,2,3,6,0.37000000000000005,0.0
GoogleCluster,42,BalancedRF,2,4,8,0.445625,0.625
GoogleCluster,42,BalancedRF,2,5,5,0.5509999999999999,0.8
GoogleCluster,42,BalancedRF,2,6,3,0.6066666666666666,1.0
GoogleCluster,42,BalancedRF,2,7,12,0.7600000000000001,1.0
GoogleCluster,42,BalancedRF,2,8,34,0.8499999999999999,1.0
GoogleCluster,42,BalancedRF,2,9,4820,0.9979284232365145,1.0
GoogleCluster,42,MLP,0,0,7353,0.0005430032291347487,0.0010879912960696314
GoogleCluster,42,MLP,0,1,15,0.13426995684131068,0.26666666666666666
GoogleCluster,42,MLP,0,2,8,0.2582084545942329,0.5
GoogleCluster,42,MLP,0,3,5,0.3426604845731165,0.2
GoogleCluster,42,MLP,0,4,2,0.4315755668585019,1.0
GoogleCluster,42,MLP,0,5,6,0.5409210073296519,0.5
GoogleCluster,42,MLP,0,6,16,0.6440577757665901,0.9375
GoogleCluster,42,MLP,0,7,20,0.7546992660496891,0.85
GoogleCluster,42,MLP,0,8,22,0.8436907984121597,0.9545454545454546
GoogleCluster,42,MLP,0,9,4553,0.9987239233622124,0.9982429167581814
GoogleCluster,42,MLP,1,0,9452,0.00035577914372797486,0.00010579771476936098
GoogleCluster,42,MLP,1,1,15,0.16258377296991003,0.06666666666666667
GoogleCluster,42,MLP,1,2,14,0.23364330876033404,0.0
GoogleCluster,42,MLP,1,3,12,0.3545050823030001,0.0
GoogleCluster,42,MLP,1,4,2,0.4419521304744563,0.0
GoogleCluster,42,MLP,1,5,2,0.5616509254225031,0.0
GoogleCluster,42,MLP,1,6,2,0.656310510294378,1.0
GoogleCluster,42,MLP,1,7,2,0.7650362526524164,0.5
GoogleCluster,42,MLP,1,8,2,0.8612248318482008,1.0
GoogleCluster,42,MLP,1,9,2497,0.9992432002873702,0.9979975971165399
GoogleCluster,42,MLP,2,0,7101,0.0004127492785635745,0.0011266018870581607
GoogleCluster,42,MLP,2,1,6,0.15753475097610517,0.16666666666666666
GoogleCluster,42,MLP,2,2,6,0.2710898429334143,0.5
GoogleCluster,42,MLP,2,3,4,0.3598303470173539,0.25
GoogleCluster,42,MLP,2,4,5,0.45673422914459805,0.8
GoogleCluster,42,MLP,2,5,1,0.5946330866855851,0.0
GoogleCluster,42,MLP,2,6,3,0.6576293312616683,0.6666666666666666
GoogleCluster,42,MLP,2,7,7,0.7399843779791011,0.42857142857142855
GoogleCluster,42,MLP,2,8,13,0.8657855822650684,0.6923076923076923
GoogleCluster,42,MLP,2,9,4854,0.9995298525936064,0.9991759373712402
GoogleCluster,42,LogReg,0,0,5935,0.007375493605811742,0.014827295703454086
GoogleCluster,42,LogReg,0,1,891,0.1410453126338779,0.04938271604938271
GoogleCluster,42,LogReg,0,2,214,0.23971371248469178,0.3037383177570093
GoogleCluster,42,LogReg,0,3,145,0.347415653428045,0.45517241379310347
GoogleCluster,42,LogReg,0,4,218,0.4502393864042398,0.7018348623853211
GoogleCluster,42,LogReg,0,5,498,0.5445741053916823,0.8634538152610441
GoogleCluster,42,LogReg,0,6,339,0.6486017534443771,0.6578171091445427
GoogleCluster,42,LogReg,0,7,411,0.7467354193881459,0.7372262773722628
GoogleCluster,42,LogReg,0,8,507,0.8535478065633112,0.9211045364891519
GoogleCluster,42,LogReg,0,9,2842,0.9730045209539951,0.9785362420830401
GoogleCluster,42,LogReg,1,0,7805,0.003614314525721121,0.004612427930813581
GoogleCluster,42,LogReg,1,1,412,0.14243048136689612,0.04611650485436893
GoogleCluster,42,LogReg,1,2,374,0.25420450739467254,0.1497326203208556
GoogleCluster,42,LogReg,1,3,197,0.34788354829897256,0.1065989847715736
GoogleCluster,42,LogReg,1,4,428,0.437300390719963,0.028037383177570093
GoogleCluster,42,LogReg,1,5,181,0.5469747177484532,0.2430939226519337
GoogleCluster,42,LogReg,1,6,153,0.6495577439777499,0.6470588235294118
GoogleCluster,42,LogReg,1,7,292,0.7588968713213372,0.7054794520547946
GoogleCluster,42,LogReg,1,8,843,0.8581731205059314,0.9383155397390273
GoogleCluster,42,LogReg,1,9,1315,0.9613498658353684,0.9239543726235742
GoogleCluster,42,LogReg,2,0,6455,0.021140428715105842,0.0179705654531371
