dataset,seed,model,true_class,predicted_class,count
GoogleCluster,42,KATS,High,High,4617
GoogleCluster,42,KATS,High,Low,3
GoogleCluster,42,KATS,High,Medium,0
GoogleCluster,42,KATS,Low,High,1
GoogleCluster,42,KATS,Low,Low,2498
GoogleCluster,42,KATS,Low,Medium,0
GoogleCluster,42,KATS,Medium,High,5
GoogleCluster,42,KATS,Medium,Low,0
GoogleCluster,42,KATS,Medium,Medium,4876
GoogleCluster,42,LightGBM,High,High,4617
GoogleCluster,42,LightGBM,High,Low,3
GoogleCluster,42,LightGBM,High,Medium,0
GoogleCluster,42,LightGBM,Low,High,1
GoogleCluster,42,LightGBM,Low,Low,2498
GoogleCluster,42,LightGBM,Low,Medium,0
GoogleCluster,42,LightGBM,Medium,High,6
GoogleCluster,42,LightGBM,Medium,Low,0
GoogleCluster,42,LightGBM,Medium,Medium,4875
GoogleCluster,42,XGBoost,High,High,4617
GoogleCluster,42,XGBoost,High,Low,3
GoogleCluster,42,XGBoost,High,Medium,0
GoogleCluster,42,XGBoost,Low,High,2
GoogleCluster,42,XGBoost,Low,Low,2497
GoogleCluster,42,XGBoost,Low,Medium,0
GoogleCluster,42,XGBoost,Medium,High,7
GoogleCluster,42,XGBoost,Medium,Low,0
GoogleCluster,42,XGBoost,Medium,Medium,4874
GoogleCluster,42,RandomForest,High,High,4617
GoogleCluster,42,RandomForest,High,Low,0
GoogleCluster,42,RandomForest,High,Medium,3
GoogleCluster,42,RandomForest,Low,High,0
GoogleCluster,42,RandomForest,Low,Low,2499
GoogleCluster,42,RandomForest,Low,Medium,0
GoogleCluster,42,RandomForest,Medium,High,3
GoogleCluster,42,RandomForest,Medium,Low,0
GoogleCluster,42,RandomForest,Medium,Medium,4878
GoogleCluster,42,BalancedRF,High,High,4617
GoogleCluster,42,BalancedRF,High,Low,1
GoogleCluster,42,BalancedRF,High,Medium,2
GoogleCluster,42,BalancedRF,Low,High,0
GoogleCluster,42,BalancedRF,Low,Low,2499
GoogleCluster,42,BalancedRF,Low,Medium,0
GoogleCluster,42,BalancedRF,Medium,High,6
GoogleCluster,42,BalancedRF,Medium,Low,0
GoogleCluster,42,BalancedRF,Medium,Medium,4875
GoogleCluster,42,MLP,High,High,4601
GoogleCluster,42,MLP,High,Low,6
GoogleCluster,42,MLP,High,Medium,13
GoogleCluster,42,MLP,Low,High,1
GoogleCluster,42,MLP,Low,Low,2497
GoogleCluster,42,MLP,Low,Medium,1
GoogleCluster,42,MLP,Medium,High,15
GoogleCluster,42,MLP,Medium,Low,2
GoogleCluster,42,MLP,Medium,Medium,4864
GoogleCluster,42,LogReg,High,High,4244
GoogleCluster,42,LogReg,High,Low,370
GoogleCluster,42,LogReg,High,Medium,6
GoogleCluster,42,LogReg,Low,High,129
GoogleCluster,42,LogReg,Low,Low,2361
GoogleCluster,42,LogReg,Low,Medium,9
