dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
GoogleCluster,42,KATS,0.25,0.9993506493506493,0.9987021414665801,0.9990262901655307,0.9992379458557986,0.998833592346033,0.00040460962777621887,0.0005483235517254567,0.9999795250291053,6,3
GoogleCluster,42,LightGBM,0.5,0.9993506493506493,0.9984861591695502,0.9989182172219818,0.9991677370239734,0.9987039951487946,0.0004959300211518392,0.0004045639804467315,0.9999849851545378,7,3
GoogleCluster,42,XGBoost,0.5,0.9993506493506493,0.9980544747081712,0.9987021414665801,0.99899478689958,0.9984447629368345,0.0005917858885659406,0.0009125194285039065,0.9999812585076232,9,3
GoogleCluster,42,RandomForest,0.5,0.9993506493506493,0.9993506493506493,0.9993506493506493,0.9995786737335601,0.9992223483098032,0.0005091166666666666,0.0023830555555555155,0.9999959105857176,3,3
GoogleCluster,42,BalancedRF,0.5,0.9993506493506493,0.9987021414665801,0.9990262901655307,0.999335470008785,0.9988335623385274,0.0006906486111111111,0.003230555555555565,0.9999938388593284,6,3
GoogleCluster,42,MLP,0.5,0.9958874458874459,0.9965345462421485,0.9962108909819205,0.997011978242683,0.9950755911339777,0.0017962806813793212,0.0015172228789124803,0.9996245082059421,16,19
GoogleCluster,42,LogReg,0.5,0.9186147186147187,0.9080017115960634,0.9132773832580159,0.9168002512382399,0.8804231658474176,0.04146941390437393,0.02931390485297429,0.9671863240472178,430,376
GoogleCluster,42,NaiveBayes,0.5,0.8337662337662337,0.9204301075268817,0.8749574105621806,0.8630648032365551,0.8090928358754672,0.0625952435464796,0.024853245662377843,0.9239846530449384,333,768
GoogleCluster,7,KATS,0.25,0.9993506493506493,0.9980544747081712,0.9987021414665801,0.9990273217095558,0.9984448029461653,0.0005810633879629331,0.00047732161076844315,0.999989488628527,9,3
GoogleCluster,7,LightGBM,0.5,0.9993506493506493,0.9982702702702703,0.9988101676581936,0.9990975289767873,0.9985743986821741,0.0005574907279586363,0.0005793607757661782,0.9999551187631983,8,3
GoogleCluster,7,XGBoost,0.5,0.9991341991341991,0.9976226496650097,0.998377852276414,0.9988166647271562,0.9980560091624177,0.0007207671786153173,0.0007811237273158928,0.9999472341207272,11,4
