feature,type
destination_port,numeric
flow_duration,numeric
total_fwd_packets,numeric
total_length_of_fwd_packets,numeric
fwd_packet_length_max,numeric
fwd_packet_length_min,numeric
fwd_packet_length_mean,numeric
fwd_packet_length_std,numeric
bwd_packet_length_max,numeric
bwd_packet_length_min,numeric
bwd_packet_length_mean,numeric
bwd_packet_length_std,numeric
flow_bytes/s,numeric
flow_packets/s,numeric
flow_iat_mean,numeric
flow_iat_std,numeric
flow_iat_max,numeric
flow_iat_min,numeric
fwd_iat_total,numeric
fwd_iat_mean,numeric
fwd_iat_std,numeric
fwd_iat_max,numeric
fwd_iat_min,numeric
bwd_iat_total,numeric
bwd_iat_mean,numeric
bwd_iat_std,numeric
bwd_iat_max,numeric
bwd_iat_min,numeric
fwd_header_length,numeric
bwd_header_length,numeric
fwd_packets/s,numeric
bwd_packets/s,numeric
min_packet_length,numeric
max_packet_length,numeric
packet_length_mean,numeric
packet_length_std,numeric
packet_length_variance,numeric
fin_flag_count,numeric
psh_flag_count,numeric
ack_flag_count,numeric
average_packet_size,numeric
subflow_fwd_bytes,numeric
init_win_bytes_forward,numeric
init_win_bytes_backward,numeric
act_data_pkt_fwd,numeric
min_seg_size_forward,numeric
active_mean,numeric
active_max,numeric
active_min,numeric
idle_mean,numeric
idle_max,numeric
idle_min,numeric
