Dataset,Baseline,b10_KATSbetter,b01_Basebetter,p_raw,p_holm,significant_holm_0.05
CloudTask,LightGBM,271,251,0.4056306,1.0,False
CloudTask,XGBoost,272,225,0.03907635,0.7033743,False
CloudTask,RandomForest,267,252,0.538864,1.0,False
CloudTask,BalancedRF,264,253,0.6600823,1.0,False
CloudTask,MLP,286,259,0.2654003,1.0,False
CloudTask,LogReg,76,59,0.1684935,1.0,False
CloudTask,NaiveBayes,146,149,0.9073003,1.0,False
GoogleCluster,LightGBM,1,1,1.0,1.0,False
GoogleCluster,XGBoost,5,0,0.0625,1.0,False
GoogleCluster,RandomForest,2,1,1.0,1.0,False
GoogleCluster,BalancedRF,5,3,0.7265625,1.0,False
GoogleCluster,MLP,1852,1,0.0,0.0,True
GoogleCluster,LogReg,1226,2,7.395997e-267,1.627119e-265,True
GoogleCluster,NaiveBayes,1519,0,0.0,0.0,True
ITIncident,LightGBM,305,1125,5.123051e-104,9.733798e-103,True
ITIncident,XGBoost,136,1771,2.016754e-306,5.24356e-305,True
ITIncident,RandomForest,117,1530,3.138346e-265,6.590527e-264,True
ITIncident,BalancedRF,113,1123,3.81499e-181,7.629981e-180,True
ITIncident,MLP,186,1766,9.810566e-280,2.25643e-278,True
ITIncident,LogReg,1828,189,3.069721e-291,7.674304e-290,True
ITIncident,NaiveBayes,193,1794,3.798647e-282,9.116753e-281,True
MultiCloud,LightGBM,51,43,0.4702976,1.0,False
MultiCloud,XGBoost,52,43,0.4117701,1.0,False
MultiCloud,RandomForest,48,39,0.3910636,1.0,False
MultiCloud,BalancedRF,48,43,0.6749867,1.0,False
MultiCloud,MLP,46,44,0.9160511,1.0,False
MultiCloud,LogReg,24,21,0.7655945,1.0,False
MultiCloud,NaiveBayes,27,26,1.0,1.0,False
CICIDS2017,LightGBM,10,4779,0.0,0.0,True
CICIDS2017,XGBoost,4,4775,0.0,0.0,True
CICIDS2017,RandomForest,14,4769,0.0,0.0,True
CICIDS2017,BalancedRF,20,4773,0.0,0.0,True
CICIDS2017,MLP,164,4534,0.0,0.0,True
CICIDS2017,LogReg,110,3075,0.0,0.0,True
CICIDS2017,NaiveBayes,1001,4495,0.0,0.0,True
