Dataset,ComparedTo,b10,b01,ChiSquared,pvalue,Significant
CloudTask,LightGBM,1442,1378,1.407,0.2355,no
CloudTask,XGBoost,1438,1292,7.701,0.0055,yes
CloudTask,RandomForest,1538,1455,2.247,0.1339,no
CloudTask,BalancedRF,1464,1433,0.311,0.5773,no
CloudTask,MLP,1417,1291,5.770,0.0163,yes
CloudTask,LogReg,1422,1366,1.085,0.2976,no
CloudTask,NaiveBayes,1382,1365,0.093,0.7602,no
GoogleCluster,LightGBM,4,1,0.800,0.3711,no
GoogleCluster,XGBoost,20,6,6.500,0.0108,yes
GoogleCluster,RandomForest,14,10,0.375,0.5403,no
GoogleCluster,BalancedRF,24,9,5.939,0.0148,yes
GoogleCluster,MLP,287,15,243.182,0.0000,yes
GoogleCluster,LogReg,32638,7,32615.007,0.0000,yes
GoogleCluster,NaiveBayes,36420,5,36403.003,0.0000,yes
ITIncident,LightGBM,0,1,0.000,1.0000,no
ITIncident,XGBoost,0,0,0.000,1.0000,identical
ITIncident,RandomForest,3,0,1.333,0.2482,no
ITIncident,BalancedRF,3,0,1.333,0.2482,no
ITIncident,MLP,4,1,0.800,0.3711,no
ITIncident,LogReg,0,1,0.000,1.0000,no
ITIncident,NaiveBayes,16,0,14.062,0.0002,yes
MultiCloud,LightGBM,74,21,28.463,0.0000,yes
MultiCloud,XGBoost,92,31,29.268,0.0000,yes
MultiCloud,RandomForest,107,19,60.071,0.0000,yes
MultiCloud,BalancedRF,112,22,59.112,0.0000,yes
MultiCloud,MLP,24,83,31.439,0.0000,yes_MLP_wins
MultiCloud,LogReg,11,90,60.238,0.0000,yes_LogReg_wins
MultiCloud,NaiveBayes,55,34,4.494,0.0340,yes
