Dataset,Model,RecallH_mean,RecallH_std,PrecH,MacroF1,Kappa,AUC
CloudTask,KATS,0.3205,0.0399,0.3396,0.3437,0.0210,0.5104
CloudTask,LightGBM,0.8500,0.0212,0.3332,0.2464,0.0050,0.4959
CloudTask,XGBoost,0.3230,0.0208,0.3185,0.3228,-0.0155,0.4943
CloudTask,RandomForest,0.3355,0.0152,0.3355,0.3335,0.0002,0.4973
CloudTask,BalancedRF,0.3405,0.0195,0.3389,0.3421,0.0133,0.4996
CloudTask,MLP,0.2870,0.0510,0.3230,0.3143,-0.0105,0.4963
CloudTask,LogReg,0.3775,0.0272,0.3392,0.3373,0.0070,0.4961
CloudTask,NaiveBayes,0.3805,0.0831,0.3510,0.3395,0.0168,0.4995
GoogleCluster,KATS,1.0000,0.0000,0.9998,0.9999,0.9998,1.0000
GoogleCluster,LightGBM,0.9999,0.0000,0.9998,0.9999,0.9998,1.0000
GoogleCluster,XGBoost,0.9999,0.0000,0.9998,0.9999,0.9998,1.0000
GoogleCluster,RandomForest,0.9999,0.0000,0.9998,0.9999,0.9998,1.0000
GoogleCluster,BalancedRF,0.9999,0.0000,0.9998,0.9999,0.9998,1.0000
GoogleCluster,MLP,0.9993,0.0002,0.9988,0.9992,0.9988,1.0000
GoogleCluster,LogReg,0.9110,0.0009,0.9070,0.9134,0.8760,0.9832
GoogleCluster,NaiveBayes,0.9496,0.0010,0.8700,0.8986,0.8605,0.9677
ITIncident,KATS,1.0000,0.0000,0.9985,0.9997,0.9996,1.0000
ITIncident,LightGBM,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
ITIncident,XGBoost,1.0000,0.0000,0.9985,0.9997,0.9996,1.0000
ITIncident,RandomForest,1.0000,0.0000,1.0000,0.9991,0.9986,1.0000
ITIncident,BalancedRF,0.9985,0.0029,0.9985,0.9991,0.9986,1.0000
ITIncident,MLP,0.9985,0.0029,0.9985,0.9990,0.9986,0.9993
ITIncident,LogReg,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
ITIncident,NaiveBayes,0.9897,0.0100,0.9941,0.9938,0.9939,0.9990
MultiCloud,KATS,0.9188,0.0201,0.9113,0.8942,0.8410,0.9808
MultiCloud,LightGBM,0.8945,0.0254,0.8740,0.8399,0.7615,0.9608
MultiCloud,XGBoost,0.8524,0.0177,0.8934,0.8340,0.7495,0.9541
MultiCloud,RandomForest,0.8433,0.0229,0.8814,0.8057,0.7090,0.9331
MultiCloud,BalancedRF,0.8434,0.0222,0.8685,0.8035,0.7060,0.9361
MultiCloud,MLP,0.9609,0.0152,0.9639,0.9528,0.9295,0.9945
MultiCloud,LogReg,0.9759,0.0153,0.9911,0.9731,0.9595,0.9990
MultiCloud,NaiveBayes,0.8677,0.0456,0.8951,0.8740,0.8095,0.9634
